poiId,name,avgScore,address,phone,openTime,extraInfos,hasFoodSafeInfo,longitude,latitude,avgPrice,brandId,brandName,showStatus
4615402,爱达乐（绵阳六里村店）,4.8,游仙区六里村华兴南街8号,0816-2297677,周一至周日 07:30-21:30,[],True,104.77077,31.484039,20,786124,爱达乐,1
41955549,大味美蛙鱼头火锅（高水店）,5,涪城区跃进路北段83号（长虹世纪城西二期31幢2-2号）,0816-2287979/13060173677,周一至周日 10:00-22:00,"[{'iconUrl': 'http://p0.meituan.net/codeman/551290739062eda37e52999e2315f50c1887.png', 'text': '提供wifi'}]",True,104.741776,31.492213,41,0,,1
2849942,顶呱呱水煮牛蛙,5,江油市花园路中段涪江丽苑1期33号,0816-3222678/13990110351,周一至周日 10:00-13:00 16:00-21:30,"[{'iconUrl': 'http://p1.meituan.net/codeman/4b1c5696fe5bf2c4d23fb01659b3e68b1960.png', 'text': '停车位'}]",True,104.750316,31.782206,47,0,,1
66225165,好滋味糕点房,5,涪城区跃进路北段高水虹高市场3幢77号（长虹第五生活区西门对面）,18683675026/13890104154,周一至周日 06:30-24:00  2020-01-22至2020-01-27 休息,[],True,104.740738,31.493208,50,0,,1
40689052,原饼道,5,涪城区跃进路长虹国际城1期底商,18683672770,周一至周日 11:30-20:30  2020-01-23至2020-01-29 休息,"[{'iconUrl': 'http://p0.meituan.net/codeman/551290739062eda37e52999e2315f50c1887.png', 'text': '提供wifi'}]",True,104.74173,31.468928,12,0,,1
5432854,三碗不过岗（芙蓉金城店）,5,游仙区仙童街与游仙东路交口东南（乐府娱乐会所正对面）,0816-2380999,周一至周日 09:00-14:00 17:00-21:00  2020-01-26至2020-02-08 休息,"[{'iconUrl': 'http://p0.meituan.net/codeman/551290739062eda37e52999e2315f50c1887.png', 'text': '提供wifi'}]",True,104.776005,31.495797,48,1804494,三碗不过岗,1
66900936,周小弟冒菜馆,5,涪城区中元广场后面双碑南路6号,15983608672,周一至周日 10:00-22:00  2020-01-24至2020-01-30 休息,"[{'iconUrl': 'http://p0.meituan.net/codeman/551290739062eda37e52999e2315f50c1887.png', 'text': '提供wifi'}]",True,104.693235,31.461844,15,0,,1
50295171,卡蜜儿蛋糕,5,三台县北泉路勇华丽景家家福超市旁,13890151752,周一至周日 08:00-21:30,[],True,105.08875,31.098839,15,0,,1
50602881,金莎利,5,游仙区一环路东段183号,13990185331/18780307175,周一至周日 06:00-22:00,"[{'iconUrl': 'http://p0.meituan.net/codeman/551290739062eda37e52999e2315f50c1887.png', 'text': '提供wifi'}]",True,104.770248,31.476403,10,0,,1
51135547,味之绝美蛙鱼头（花园店）,4.5,涪城区金菊街32号,0816-2969686,周一至周日 10:00-22:00  2020-01-24 10:00-14:00 2020-01-25 休息,[],True,104.721678,31.455876,53,2499558,味之绝热血美蛙鱼,1
75934346,小小木屋休闲小吃,4.4,江油市中坝镇火炮街81号,13402385556,周一至周日 08:30-21:30,"[{'iconUrl': 'http://p1.meituan.net/codeman/4b1c5696fe5bf2c4d23fb01659b3e68b1960.png', 'text': '停车位'}]",True,104.743917,31.776154,10,0,,1
40806201,紫香湾（一店）,4.6,江油市中坝镇平等街77号（汇星超市旁）,18281910800,周一至周日 09:30-20:30,[],True,104.745298,31.773503,7,0,,1
